Date,Type,Block,Street,Story,Area,Model  ,LeaseBegin,LeaseRemaining(in months),ResalePrice
2022-02,5 ROOM,6,PUNGGOL CTRL,16 TO 18,110,Premium Apartment,2005,983,580000
2022-06,4 ROOM,6,PUNGGOL CTRL,10 TO 12,90,Premium Apartment,2005,980,470000
2022-06,5 ROOM,6,PUNGGOL CTRL,10 TO 12,110,Premium Apartment,2005,980,568000
2022-07,5 ROOM,6,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2005,979,530000
2022-09,5 ROOM,6,PUNGGOL CTRL,07 TO 09,110,Premium Apartment,2005,977,558000
2022-11,5 ROOM,6,PUNGGOL CTRL,13 TO 15,110,Premium Apartment,2005,975,610000
2022-01,5 ROOM,6,PUNGGOL CTRL,04 TO 06,110,Premium Apartment,2005,984,535000
2022-08,4 ROOM,6,PUNGGOL CTRL,13 TO 15,90,Premium Apartment,2005,978,480000
2022-11,5 ROOM,6,PUNGGOL CTRL,13 TO 15,110,Premium Apartment,2005,975,622000
2022-01,5 ROOM,6,PUNGGOL CTRL,10 TO 12,110,Premium Apartment,2005,984,560000
2022-01,5 ROOM,6,PUNGGOL CTRL,16 TO 18,110,Premium Apartment,2005,984,600000
2022-02,4 ROOM,6,PUNGGOL CTRL,01 TO 03,91,Premium Apartment,2005,984,430000
2022-06,5 ROOM,6,PUNGGOL CTRL,07 TO 09,110,Premium Apartment,2005,980,545000
2022-07,5 ROOM,6,PUNGGOL CTRL,07 TO 09,110,Premium Apartment,2005,979,555880
2022-12,4 ROOM,6,PUNGGOL CTRL,13 TO 15,90,Premium Apartment,2005,974,525000
2022-08,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2002,950,550000
2022-07,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2002,951,555000
2022-09,5 ROOM,9,PUNGGOL FIELD,07 TO 09,109,Improved,2002,949,540000
2022-01,5 ROOM,9,PUNGGOL FIELD,04 TO 06,109,Improved,2002,956,490000
2022-08,5 ROOM,9,PUNGGOL FIELD,04 TO 06,110,Improved,2002,949,550000
2022-01,5 ROOM,9,PUNGGOL FIELD,01 TO 03,110,Improved,2002,959,490000
2022-01,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2002,956,525000
2022-03,5 ROOM,9,PUNGGOL FIELD,07 TO 09,110,Improved,2002,955,500000
2022-09,4 ROOM,9,PUNGGOL FIELD,07 TO 09,90,Model A,2002,949,480000
2022-06,5 ROOM,9,PUNGGOL FIELD,07 TO 09,110,Improved,2002,954,525000
2022-04,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2002,956,539000
2022-09,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2002,951,578000
2022-06,5 ROOM,9,PUNGGOL FIELD,07 TO 09,110,Improved,2002,954,550000
2022-01,4 ROOM,9,PUNGGOL FIELD,04 TO 06,90,Model A,2002,959,420000
2022-02,5 ROOM,9,PUNGGOL FIELD,13 TO 15,110,Improved,2002,958,498000
2022-02,5 ROOM,9,PUNGGOL FIELD,07 TO 09,110,Improved,2002,957,520000
2022-05,5 ROOM,9,PUNGGOL FIELD,04 TO 06,110,Improved,2002,955,510000
2022-02,5 ROOM,18,EDGEFIELD PLAINS,16 TO 18,110,Improved,2003,964,521000
2022-07,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,959,580000
2022-12,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,110,Improved,2003,954,596000
2022-06,5 ROOM,18,EDGEFIELD PLAINS,01 TO 03,110,Improved,2003,959,520000
2022-04,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,961,530000
2022-09,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,110,Improved,2003,957,540000
2022-10,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,956,571000
2022-11,5 ROOM,18,EDGEFIELD PLAINS,16 TO 18,110,Improved,2003,956,560000
2022-06,4 ROOM,18,EDGEFIELD PLAINS,01 TO 03,90,Model A,2003,960,450000
2022-10,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,110,Improved,2003,956,535000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,964,510000
2022-04,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,962,510000
2022-05,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,110,Improved,2003,961,523888
2022-06,4 ROOM,18,EDGEFIELD PLAINS,13 TO 15,90,Model A,2003,961,452000
2022-10,5 ROOM,18,EDGEFIELD PLAINS,10 TO 12,110,Improved,2003,956,535000
2022-11,4 ROOM,18,EDGEFIELD PLAINS,13 TO 15,90,Model A,2003,955,480000
2022-03,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,962,525000
2022-05,4 ROOM,18,EDGEFIELD PLAINS,13 TO 15,90,Model A,2003,961,475000
2022-09,5 ROOM,18,EDGEFIELD PLAINS,07 TO 09,110,Improved,2003,957,575000
2022-06,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,960,572000
2022-03,4 ROOM,18,EDGEFIELD PLAINS,10 TO 12,90,Model A,2003,963,450000
2022-03,4 ROOM,18,EDGEFIELD PLAINS,16 TO 18,90,Model A,2003,962,458000
2022-01,5 ROOM,18,EDGEFIELD PLAINS,16 TO 18,110,Improved,2003,965,500000
2022-01,4 ROOM,18,EDGEFIELD PLAINS,13 TO 15,90,Model A,2003,965,440000
2022-04,4 ROOM,18,EDGEFIELD PLAINS,04 TO 06,90,Model A,2003,961,445000
2022-06,5 ROOM,18,EDGEFIELD PLAINS,13 TO 15,110,Improved,2003,960,530000
2022-04,5 ROOM,9,PUNGGOL FIELD,13 TO 15,110,Improved,2003,960,588000
2022-05,5 ROOM,9,PUNGGOL FIELD,10 TO 12,110,Improved,2003,959,550000
2022-09,5 ROOM,9,PUNGGOL FIELD,13 TO 15,110,Improved,2003,955,575000
2022-11,5 ROOM,9,PUNGGOL FIELD,13 TO 15,110,Improved,2003,954,560000
